MovieID,WeightedRating,# of Ratings,Title,Genres
m1026,3.335730621197749,8,So Dear to My Heart (1949),"[""Children's"", 'Drama']"
m1027,3.1856368563685638,344,Robin Hood: Prince of Thieves (1991),['Drama']
m1028,3.8573418990876953,1011,Mary Poppins (1964),"[""Children's"", 'Comedy', 'Musical']"
m1029,3.6487824671870555,568,Dumbo (1941),"['Animation', ""Children's"", 'Musical']"
m103,3.2520707464431884,33,Unforgettable (1996),['Thriller']
m1030,3.145453411243639,323,Pete's Dragon (1977),"['Adventure', 'Animation', ""Children's"", 'Musical']"
m1031,3.4447572962414603,319,Bedknobs and Broomsticks (1971),"['Adventure', ""Children's"", 'Musical']"
m1032,3.65336942924661,525,Alice in Wonderland (1951),"['Animation', ""Children's"", 'Musical']"
m1033,3.4206510961979655,287,"Fox and the Hound, The (1981)","['Animation', ""Children's""]"
m1034,3.593996840442338,169,Freeway (1996),['Crime']
m1035,3.8920573625350636,882,"Sound of Music, The (1965)",['Musical']
m1036,4.068409482590294,1666,Die Hard (1988),"['Action', 'Thriller']"
m1037,2.7415698712305967,615,"Lawnmower Man, The (1992)","['Action', 'Sci-Fi', 'Thriller']"
m1038,3.4305555555555554,11,Unhook the Stars (1996),['Drama']
m1039,3.75138947147651,3,Synthetic Pleasures (1995),['Documentary']
m104,3.506314868075528,682,Happy Gilmore (1996),['Comedy']
m1040,3.4166666666666665,5,"Secret Agent, The (1996)",['Drama']
m1041,4.011022044088176,474,Secrets & Lies (1996),['Drama']
m1042,3.4591464382040296,528,That Thing You Do! (1996),['Comedy']
m1043,2.9821941563734162,108,To Gillian on Her 37th Birthday (1996),"['Drama', 'Romance']"
m1044,3.375,35,Surviving Picasso (1996),['Drama']
m1046,3.8939517492766154,90,Beautiful Thing (1996),"['Drama', 'Romance']"
m1047,3.429868648103465,434,"Long Kiss Goodnight, The (1996)","['Action', 'Thriller']"
m1049,3.2979512445170935,451,"Ghost and the Darkness, The (1996)","['Action', 'Adventure']"
m105,3.2483546083327046,387,"Bridges of Madison County, The (1995)","['Drama', 'Romance']"
m1050,3.7980597342662925,146,Looking for Richard (1996),"['Documentary', 'Drama']"
m1051,3.434959349593496,98,Trees Lounge (1996),['Drama']
m1053,3.1657467532467534,35,Normal Life (1996),"['Crime', 'Drama']"
m1054,3.3537735849056602,81,Get on the Bus (1996),['Drama']
m1055,3.165631873486093,19,Shadow Conspiracy (1997),['Thriller']
m1056,3.526666666666667,50,Jude (1996),['Drama']
m1057,3.5355699034164023,274,Everyone Says I Love You (1996),"['Comedy', 'Musical', 'Romance']"
m1058,3.4305555555555554,11,Bitter Sugar (Azucar Amargo) (1996),['Drama']
m1059,3.402619347027242,479,William Shakespeare's Romeo and Juliet (1996),"['Drama', 'Romance']"
m106,3.4046618388723653,12,Nobody Loves Me (Keiner liebt mich) (1994),"['Comedy', 'Drama']"
m1060,3.9146499673359587,786,Swingers (1996),"['Comedy', 'Drama']"
m1061,3.5410370879120876,374,Sleepers (1996),"['Crime', 'Drama']"
m1062,3.425925925925926,2,"Sunchaser, The (1996)",['Drama']
m1063,3.323529411764706,26,Johns (1996),['Drama']
m1064,3.0027130800290416,209,Aladdin and the King of Thieves (1996),"['Animation', ""Children's"", 'Comedy']"
m1066,3.9716863102861097,175,Shall We Dance? (1937),"['Comedy', 'Musical', 'Romance']"
m1067,3.5110975646771365,23,"Damsel in Distress, A (1937)","['Comedy', 'Musical', 'Romance']"
m1068,3.6624331255051827,35,Crossfire (1947),"['Crime', 'Film-Noir']"
m1069,3.78963995990716,110,"Murder, My Sweet (1944)","['Film-Noir', 'Thriller']"
m107,3.183013300186407,256,Muppet Treasure Island (1996),"['Adventure', ""Children's"", 'Comedy', 'Musical']"
m1070,3.1943585211371333,2,Macao (1952),['Adventure']
m1071,3.5504211292970638,5,For the Moment (1994),"['Romance', 'War']"
m1073,3.8195128226154,1313,Willy Wonka and the Chocolate Factory (1971),"['Adventure', ""Children's"", 'Comedy', 'Fantasy']"
m1076,3.4336463098199714,23,"Innocents, The (1961)",['Thriller']
m1077,3.894712375444654,744,Sleeper (1973),"['Comedy', 'Sci-Fi']"
m1078,3.792583714809913,372,Bananas (1971),"['Comedy', 'War']"
m1079,3.94609110801671,1326,"Fish Called Wanda, A (1988)",['Comedy']
m108,3.2509263143176734,7,Catwalk (1995),['Documentary']
m1080,3.980526167961801,926,Monty Python's Life of Brian (1979),['Comedy']
m1081,3.5939138700092643,434,Victor/Victoria (1982),"['Comedy', 'Musical']"
m1082,3.6731843575418996,154,"Candidate, The (1972)",['Drama']
m1083,3.504710489445082,164,"Great Race, The (1965)","['Comedy', 'Musical']"
m1084,4.065324531305544,686,Bonnie and Clyde (1967),"['Crime', 'Drama']"
m1085,3.6374271399956335,131,"Old Man and the Sea, The (1958)","['Adventure', 'Drama']"
m1086,3.9309067275022,379,Dial M for Murder (1954),"['Mystery', 'Thriller']"
m1087,3.5592693719988704,18,Madame Butterfly (1995),['Musical']
m1088,3.3323352518225273,687,Dirty Dancing (1987),"['Musical', 'Romance']"
m1089,4.098168343715633,1259,Reservoir Dogs (1992),"['Crime', 'Thriller']"
m1090,4.071873582156383,1143,Platoon (1986),"['Drama', 'War']"
m1091,2.837538060026098,373,Weekend at Bernie's (1989),['Comedy']
m1092,3.5198572387875506,751,Basic Instinct (1992),"['Mystery', 'Thriller']"
m1093,3.42104201406234,680,"Doors, The (1991)","['Drama', 'Musical']"
m1094,3.7260468199738668,1229,"Crying Game, The (1992)","['Drama', 'Romance', 'War']"
m1095,3.8682885906040267,571,Glengarry Glen Ross (1992),['Drama']
m1096,3.9444444444444446,344,Sophie's Choice (1982),['Drama']
m1097,3.934818548191866,2269,E.T. the Extra-Terrestrial (1982),"[""Children's"", 'Drama', 'Fantasy', 'Sci-Fi']"
m1098,3.121818181818182,5,"Search for One-eye Jimmy, The (1996)",['Comedy']
m1099,3.9337899543378994,194,"Christmas Carol, A (1938)",['Drama']
m11,3.777744224755646,1033,"American President, The (1995)","['Comedy', 'Drama', 'Romance']"
m110,4.209330542222958,2443,Braveheart (1995),"['Action', 'Drama', 'War']"
m1100,2.873926037874491,420,Days of Thunder (1990),"['Action', 'Romance']"
m1101,3.6502403329986595,1010,Top Gun (1986),"['Action', 'Romance']"
m1102,3.115661317100166,4,American Strays (1996),['Action']
m1103,3.898126463700234,402,Rebel Without a Cause (1955),['Drama']
m1104,4.18996062992126,483,"Streetcar Named Desire, A (1951)",['Drama']
m1105,2.228506787330317,42,Children of the Corn IV: The Gathering (1996),['Horror']
m1107,3.1268939393939394,3,Loser (1991),['Comedy']
m111,4.14970854173154,1240,Taxi Driver (1976),"['Drama', 'Thriller']"
m1111,4.080920361331435,94,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),['Documentary']
m1112,3.3348684406512055,35,Palookaville (1996),"['Action', 'Drama']"
m1113,3.0956937799043067,50,"Associate, The (1996)",['Comedy']
m1114,3.1517857142857144,31,"Funeral, The (1996)",['Drama']
m1115,3.278998175737306,1,Sleepover (1995),"['Comedy', 'Drama']"
m1116,3.4642857142857144,17,"Single Girl, A (La Fille Seule) (1995)",['Drama']
m1117,3.7432432432432434,12,"Eighth Day, The (Le Huitième jour ) (1996)",['Drama']
m1118,3.338436684494838,1,Tashunga (1995),"['Adventure', 'Western']"
m1119,3.330508474576271,34,Drunks (1997),['Drama']
m112,3.413680760139871,570,Rumble in the Bronx (1995),"['Action', 'Adventure', 'Crime']"
m1120,3.579002079002079,456,"People vs. Larry Flynt, The (1996)",['Drama']
m1121,3.3552631578947367,13,Glory Daze (1996),['Drama']
m1123,3.737134625574002,33,"Perfect Candidate, A (1996)",['Documentary']
m1124,3.7267441860465116,405,On Golden Pond (1981),['Drama']
m1125,3.7188160676532767,385,"Return of the Pink Panther, The (1974)",['Comedy']
m1126,2.5656178682838915,317,Drop Dead Fred (1991),"['Comedy', 'Fantasy']"
m1127,3.654634585528922,1715,"Abyss, The (1989)","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
m1128,2.892347230154198,170,"Fog, The (1980)",['Horror']
m1129,3.434917361137685,884,Escape from New York (1981),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
m113,3.2092051502665013,53,Before and After (1996),"['Drama', 'Mystery']"
m1130,3.19035029742234,231,"Howling, The (1980)",['Horror']
m1131,4.238589211618257,216,Jean de Florette (1986),['Drama']
m1132,4.181632653061224,220,Manon of the Spring (Manon des sources) (1986),['Drama']
m1133,3.269879647539222,2,Talking About Sex (1994),"['Comedy', 'Drama']"
m1134,3.3058407440714097,2,Johnny 100 Pesos (1993),"['Action', 'Drama']"
m1135,3.1904666130329846,407,Private Benjamin (1980),['Comedy']
m1136,4.3041915505419155,1599,Monty Python and the Holy Grail (1974),['Comedy']
m1138,3.8342596476510065,7,Dadetown (1995),['Documentary']
m1139,3.537037037037037,2,Everything Relative (1996),['Drama']
m114,3.375,11,Margaret's Museum (1995),['Drama']
m1142,3.314814814814815,2,Get Over It (1996),['Drama']
m1144,3.7624340843720043,16,"Line King: Al Hirschfeld, The (1996)",['Documentary']
m1145,3.430159395973154,2,Snowriders (1996),['Documentary']
m1147,4.312096155219192,277,When We Were Kings (1996),['Documentary']
m1148,4.410896379891799,882,"Wrong Trousers, The (1993)","['Animation', 'Comedy']"
m1149,3.583950876211782,4,JLG/JLG - autoportrait de décembre (1994),"['Documentary', 'Drama']"
m1150,3.871584699453552,158,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",['Drama']
m1151,3.37670558986142,31,Faust (1994),"['Animation', 'Comedy', 'Thriller']"
m1152,3.489788775906746,29,He Walked by Night (1948),"['Crime', 'Film-Noir', 'Thriller']"
m1153,3.7754521896186164,14,Raw Deal (1948),['Film-Noir']
m1154,3.865336185584178,15,T-Men (1947),['Film-Noir']
m116,4.065459038517654,41,Anne Frank Remembered (1995),['Documentary']
m1160,3.0802139037433154,6,Six of a Kind (1934),['Comedy']
m1161,3.8529411764705883,94,"Tin Drum, The (Blechtrommel, Die) (1979)",['Drama']
m1162,3.681495809155384,96,"Ruling Class, The (1972)",['Comedy']
m1163,3.2613636363636362,19,Mina Tannenbaum (1994),['Drama']
m1164,3.5166666666666666,5,Two or Three Things I Know About Her (1966),['Drama']
m1165,3.3221225994333086,1,"Bloody Child, The (1996)","['Drama', 'Thriller']"
m1167,2.99345977763244,94,Dear God (1996),['Comedy']
m1168,2.515250544662309,18,Bad Moon (1996),['Horror']
m1169,3.7319784334588313,36,American Dream (1990),['Documentary']
m117,3.548209366391185,79,"Young Poisoner's Handbook, The (1995)",['Crime']
m1170,2.972279519042109,17,Best of the Best 3: No Turning Back (1995),['Action']
m1171,3.682806324110672,415,Bob Roberts (1992),['Comedy']
m1172,4.23298207810157,615,Cinema Paradiso (1988),"['Comedy', 'Drama', 'Romance']"
m1173,3.3654708520179373,198,"Cook the Thief His Wife & Her Lover, The (1989)",['Drama']
m1174,3.2618181818181817,5,Grosse Fatigue (1994),['Comedy']
m1175,3.84610475336418,368,Delicatessen (1991),"['Comedy', 'Sci-Fi']"
m1176,3.866883116883117,129,"Double Life of Veronique, The (La Double Vie de Véronique) (1991)",['Drama']
m1177,3.921511627906977,147,Enchanted April (1991),['Drama']
m1178,4.32891721241319,230,Paths of Glory (1957),"['Drama', 'War']"
m1179,3.781629828233431,885,"Grifters, The (1990)","['Crime', 'Drama', 'Film-Noir']"
m118,3.159796550923183,68,If Lucy Fell (1996),"['Comedy', 'Romance']"
m1180,3.5377990430622015,50,Hear My Song (1991),['Comedy']
m1181,3.132617435463394,10,"Shooter, The (1995)",['Action']
m1183,3.6088117768197034,989,"English Patient, The (1996)","['Drama', 'Romance', 'War']"
m1184,3.6867000507259475,91,Mediterraneo (1991),"['Comedy', 'War']"
m1185,3.9341004184100417,453,My Left Foot (1989),['Drama']
m1186,3.6090289608177173,562,"Sex, Lies, and Videotape (1989)",['Drama']
m1187,3.636627906976744,147,Passion Fish (1992),['Drama']
m1188,3.910677581525055,676,Strictly Ballroom (1992),"['Comedy', 'Romance']"
m1189,4.244566115955518,269,"Thin Blue Line, The (1988)",['Documentary']
m119,3.036050156739812,13,"Steal Big, Steal Little (1995)",['Comedy']
m1190,3.5063694267515926,132,Tie Me Up! Tie Me Down! (1990),['Drama']
m1191,3.079491195195384,209,Madonna: Truth or Dare (1991),['Documentary']
m1192,4.018282870652837,105,Paris Is Burning (1990),['Documentary']
m1193,4.378,1725,One Flew Over the Cuckoo's Nest (1975),['Drama']
m1194,3.4283692960735763,212,Up in Smoke (1978),['Comedy']
m1196,4.263164578409407,2990,Star Wars: Episode V - The Empire Strikes Back (1980),"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'War']"
m1197,4.268940493177592,2318,"Princess Bride, The (1987)","['Action', 'Adventure', 'Comedy', 'Romance']"
m1198,4.423724961404755,2514,Raiders of the Lost Ark (1981),"['Action', 'Adventure']"
m1199,3.9766201295427295,913,Brazil (1985),['Sci-Fi']
m12,2.489779015819188,160,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']"
m120,3.4107142857142856,3,Race the Sun (1996),['Drama']
m1200,4.080210230359889,1820,Aliens (1986),"['Action', 'Sci-Fi', 'Thriller', 'War']"
m1201,4.0523442089175745,822,"Good, The Bad and The Ugly, The (1966)","['Action', 'Western']"
m1202,3.453768453768454,72,Withnail and I (1987),['Comedy']
m1203,4.264430577223089,616,12 Angry Men (1957),['Drama']
m1204,4.312541422226996,831,Lawrence of Arabia (1962),"['Adventure', 'War']"
m1205,3.3598838444408603,231,"Transformers: The Movie, The (1986)","['Action', 'Animation', ""Children's"", 'Sci-Fi', 'Thriller', 'War']"
m1206,3.9871608175020685,1229,"Clockwork Orange, A (1971)",['Sci-Fi']
m1207,4.401364113326338,928,To Kill a Mockingbird (1962),['Drama']
m1208,4.218860963943982,1176,Apocalypse Now (1979),"['Drama', 'War']"
m1209,3.918218153247019,173,Once Upon a Time in the West (1969),['Western']
m121,3.8306451612903225,37,"Boys of St. Vincent, The (1993)",['Drama']
m1210,3.9993238783461997,2883,Star Wars: Episode VI - Return of the Jedi (1983),"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'War']"
m1211,4.0080244286777855,242,Wings of Desire (Der Himmel über Berlin) (1987),"['Comedy', 'Drama', 'Romance']"
m1212,4.267441207814795,480,"Third Man, The (1949)","['Mystery', 'Thriller']"
m1213,4.258480222097958,1657,GoodFellas (1990),"['Crime', 'Drama']"
m1214,4.114611831027232,2024,Alien (1979),"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
m1215,3.7488994729236276,945,Army of Darkness (1993),"['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi']"
m1216,3.493379162143393,87,"Big Blue, The (Le Grand Bleu) (1988)","['Adventure', 'Romance']"
m1217,4.193773549424039,357,Ran (1985),"['Drama', 'War']"
m1218,3.905198018733335,244,"Killer, The (Die xue shuang xiong) (1989)","['Action', 'Thriller']"
m1219,4.170155090419524,1263,Psycho (1960),"['Horror', 'Thriller']"
m122,2.8653622088107884,194,Boomerang (1992),"['Comedy', 'Romance']"
m1220,3.899741739739749,1341,"Blues Brothers, The (1980)","['Action', 'Comedy', 'Musical']"
m1221,4.317709357586161,1692,"Godfather: Part II, The (1974)","['Action', 'Crime', 'Drama']"
m1222,4.069941590388171,1254,Full Metal Jacket (1987),"['Action', 'Drama', 'War']"
m1223,4.21710759385178,473,"Grand Day Out, A (1992)","['Animation', 'Comedy']"
m1224,4.219993108691211,426,Henry V (1989),"['Drama', 'War']"
m1225,4.238450604122246,1382,Amadeus (1984),['Drama']
m1226,3.9284861158872753,226,"Quiet Man, The (1952)","['Comedy', 'Romance']"
m1227,3.7793314735355583,241,Once Upon a Time in America (1984),"['Crime', 'Drama', 'Thriller']"
m1228,4.163105413105413,677,Raging Bull (1980),['Drama']
m123,3.7258336914598167,115,Chungking Express (1994),"['Drama', 'Mystery', 'Romance']"
m1230,4.114393885477379,1334,Annie Hall (1977),"['Comedy', 'Romance']"
m1231,4.061290322580645,750,"Right Stuff, The (1983)",['Drama']
m1232,3.38578735007791,52,Stalker (1979),"['Mystery', 'Sci-Fi']"
m1233,4.2389027498096565,1001,"Boat, The (Das Boot) (1981)","['Action', 'Drama', 'War']"
m1234,4.279377325401636,1049,"Sting, The (1973)","['Comedy', 'Crime']"
m1235,4.1065915216858615,697,Harold and Maude (1971),['Comedy']
m1236,3.9495315473576347,90,Trust (1990),"['Comedy', 'Drama']"
m1237,4.174382716049383,299,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",['Drama']
m1238,3.9093204775022956,351,Local Hero (1983),['Comedy']
m124,3.3974358974358974,14,"Star Maker, The (Uomo delle stelle, L') (1995)",['Drama']
m1240,4.102437421426929,2098,"Terminator, The (1984)","['Action', 'Sci-Fi', 'Thriller']"
m1241,3.222860633551653,70,Braindead (1992),"['Comedy', 'Horror']"
m1242,4.142384620603405,1112,Glory (1989),"['Action', 'Drama', 'War']"
m1243,3.9197174447174445,325,Rosencrantz and Guildenstern Are Dead (1990),"['Comedy', 'Drama']"
m1244,4.045057601024642,718,Manhattan (1979),"['Comedy', 'Drama', 'Romance']"
m1245,3.9725848563968666,358,Miller's Crossing (1990),['Drama']
m1246,3.991477272727273,855,Dead Poets Society (1989),['Drama']
m1247,4.224227869919941,1261,"Graduate, The (1967)","['Drama', 'Romance']"
m1248,4.147425048312424,514,Touch of Evil (1958),"['Crime', 'Film-Noir', 'Thriller']"
m1249,3.933783157144873,733,Nikita (La Femme Nikita) (1990),['Thriller']
m125,3.7550713749060853,318,Flirting With Disaster (1996),['Comedy']
m1250,4.349225420700755,938,"Bridge on the River Kwai, The (1957)","['Drama', 'War']"
m1251,4.045454545454546,228,8 1/2 (1963),['Drama']
m1252,4.285829406778516,1185,Chinatown (1974),"['Film-Noir', 'Mystery', 'Thriller']"
m1253,4.032096453730103,559,"Day the Earth Stood Still, The (1951)","['Drama', 'Sci-Fi']"
m1254,4.106756144238517,453,"Treasure of the Sierra Madre, The (1948)",['Adventure']
m1255,3.2282666234537896,54,Bad Taste (1987),"['Comedy', 'Horror']"
m1256,4.1460231434470085,594,Duck Soup (1933),"['Comedy', 'War']"
m1257,3.858976613328644,472,Better Off Dead... (1985),['Comedy']
m1258,4.06128542245037,1087,"Shining, The (1980)",['Horror']
m1259,4.072310721168808,1785,Stand by Me (1986),"['Adventure', 'Comedy', 'Drama']"
m126,2.5813369975093834,99,"NeverEnding Story III, The (1994)","['Adventure', ""Children's"", 'Fantasy']"
m1260,4.183366113437789,308,M (1931),"['Crime', 'Film-Noir', 'Thriller']"
m1261,3.7441929227671933,548,Evil Dead II (Dead By Dawn) (1987),"['Action', 'Adventure', 'Comedy', 'Horror']"
m1262,4.274477417013249,696,"Great Escape, The (1963)","['Adventure', 'War']"
m1263,4.0797600938576055,700,"Deer Hunter, The (1978)","['Drama', 'War']"
m1264,3.888757586000826,257,Diva (1981),"['Action', 'Drama', 'Mystery', 'Romance', 'Thriller']"
m1265,3.9404294544722758,2278,Groundhog Day (1993),"['Comedy', 'Romance']"
m1266,4.065282622781494,997,Unforgiven (1992),['Western']
m1267,4.275357233375349,765,"Manchurian Candidate, The (1962)","['Film-Noir', 'Thriller']"
m1268,3.486842105263158,317,Pump Up the Volume (1990),['Drama']
m1269,4.079295597637194,672,Arsenic and Old Lace (1944),"['Comedy', 'Mystery', 'Thriller']"
m127,3.4038461538461537,1,"Silence of the Palace, The (Saimt el Qusur) (1994)",['Drama']
m1270,3.962937903684285,2583,Back to the Future (1985),"['Comedy', 'Sci-Fi']"
m1271,3.7936893203883497,593,Fried Green Tomatoes (1991),['Drama']
m1272,4.222313036654478,645,Patton (1970),"['Drama', 'War']"
m1273,3.8417385483381628,146,Down by Law (1986),"['Comedy', 'Drama']"
m1274,3.808701882166157,452,Akira (1988),"['Adventure', 'Animation', 'Sci-Fi', 'Thriller']"
m1275,3.760235234489621,741,Highlander (1986),"['Action', 'Adventure']"
m1276,4.219626429417005,930,Cool Hand Luke (1967),"['Comedy', 'Drama']"
m1277,3.7952440557808607,363,Cyrano de Bergerac (1990),"['Action', 'Drama', 'Romance']"
m1278,4.209520676504037,1193,Young Frankenstein (1974),"['Comedy', 'Horror']"
m1279,3.6819549596961187,194,Night on Earth (1991),"['Comedy', 'Drama']"
m128,4.177124457165417,12,Jupiter's Wife (1994),['Documentary']
m1280,4.117549668874172,277,Raise the Red Lantern (1991),['Drama']
m1281,3.8892371995820274,216,"Great Dictator, The (1940)",['Comedy']
m1282,3.858306973994795,943,Fantasia (1940),"['Animation', ""Children's"", 'Musical']"
m1283,4.111558520180617,403,High Noon (1952),['Western']
m1284,4.222223850672893,541,"Big Sleep, The (1946)","['Film-Noir', 'Mystery']"
m1285,3.783126072041166,803,Heathers (1989),['Comedy']
m1286,3.569167223751846,285,Somewhere in Time (1980),"['Drama', 'Romance']"
m1287,4.020445588909225,704,Ben-Hur (1959),"['Action', 'Adventure', 'Drama']"
m1288,4.143944315098301,1118,This Is Spinal Tap (1984),"['Comedy', 'Drama', 'Musical']"
m1289,3.9331796532756913,182,Koyaanisqatsi (1983),"['Documentary', 'War']"
m129,3.296310799362371,13,Pie in the Sky (1995),"['Comedy', 'Romance']"
m1290,3.5703917708273014,230,Some Kind of Wonderful (1987),"['Drama', 'Romance']"
m1291,4.073273883946692,1628,Indiana Jones and the Last Crusade (1989),"['Action', 'Adventure']"
m1292,3.9561177815894797,591,Being There (1979),['Comedy']
m1293,4.118534482758621,671,Gandhi (1982),['Drama']
m1294,4.092944204079013,1099,M*A*S*H (1970),"['Comedy', 'War']"
m1295,3.5618556701030926,266,"Unbearable Lightness of Being, The (1988)",['Drama']
m1296,3.9637715179968698,560,"Room with a View, A (1986)","['Drama', 'Romance']"
m1297,3.6613776367369795,442,Real Genius (1985),['Comedy']
m1298,3.638677269588259,387,Pink Floyd - The Wall (1982),"['Drama', 'Musical', 'War']"
m1299,4.210341911608831,732,"Killing Fields, The (1984)","['Drama', 'War']"
m13,3.28922478161155,99,Balto (1995),"['Animation', ""Children's""]"
m130,3.537037037037037,2,Angela (1995),['Drama']
m1300,4.1,330,My Life as a Dog (Mitt liv som hund) (1985),['Drama']
m1301,3.759281956562521,373,Forbidden Planet (1956),['Sci-Fi']
m1302,3.898486759142497,768,Field of Dreams (1989),['Drama']
m1303,3.9178936221091107,310,"Man Who Would Be King, The (1975)",['Adventure']
m1304,4.169077377586706,1419,Butch Cassidy and the Sundance Kid (1969),"['Action', 'Comedy', 'Western']"
m1305,3.743150684931507,121,"Paris, Texas (1984)",['Drama']
m1306,3.485527003315012,136,Until the End of the World (Bis ans Ende der Welt) (1991),"['Drama', 'Sci-Fi']"
m1307,4.051892065835939,1568,When Harry Met Sally... (1989),"['Comedy', 'Romance']"
m131,3.31363220710423,16,Frankie Starlight (1995),"['Drama', 'Romance']"
m1310,3.583564911912752,43,Hype! (1996),['Documentary']
m1311,2.905594405594406,7,Santa with Muscles (1996),['Comedy']
m1312,3.361111111111111,29,Female Perversions (1996),['Drama']
m1313,3.096969696969697,13,Mad Dog Time (1996),['Crime']
m1315,3.25138947147651,3,Paris Was a Woman (1995),['Documentary']
m1316,3.519230769230769,1,Anna (1996),['Drama']
m1317,3.189304812834225,40,I'm Not Rappaport (1996),['Comedy']
m132,2.8543054329508064,91,Jade (1995),['Thriller']
m1320,3.0471158530815354,925,Alien³ (1992),"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
m1321,3.6902966314731023,549,"American Werewolf in London, An (1981)",['Horror']
m1322,2.2621107266435985,32,Amityville 1992: It's About Time (1992),['Horror']
m1323,1.9977661950856291,43,Amityville 3-D (1983),['Horror']
m1324,2.341784989858012,22,Amityville: Dollhouse (1996),['Horror']
m1325,2.319042871385842,23,Amityville: A New Generation (1993),['Horror']
m1326,2.356777493606138,56,Amityville II: The Possession (1982),['Horror']
m1327,2.9202647811042572,355,"Amityville Horror, The (1979)",['Horror']
m1328,2.374156219864995,25,"Amityville Curse, The (1990)",['Horror']
m1329,2.705882352941176,36,Blood For Dracula (Andy Warhol's Dracula) (1974),['Horror']
m133,3.278998175737306,1,Nueba Yol (1995),"['Comedy', 'Drama']"
m1330,2.9980468784143572,116,April Fool's Day (1986),"['Comedy', 'Horror']"
m1331,2.9979480164158687,50,Audrey Rose (1977),['Horror']
m1332,2.9679330667098114,102,"Believers, The (1987)","['Horror', 'Thriller']"
m1333,3.829419414059512,733,"Birds, The (1963)",['Horror']
m1334,3.121459819389419,338,"Blob, The (1958)","['Horror', 'Sci-Fi']"
m1335,2.6555740054446617,21,Blood Beach (1981),"['Action', 'Horror']"
m1336,2.4376212023270845,55,Body Parts (1991),['Horror']
m1337,3.268235294117647,64,"Body Snatcher, The (1945)",['Horror']
m1339,3.3297722740502893,672,Bram Stoker's Dracula (1992),"['Horror', 'Romance']"
m134,3.858730824544583,2,Sonic Outlaws (1995),['Documentary']
m1340,3.7453314659197012,216,Bride of Frankenstein (1935),['Horror']
m1341,2.807005948446794,53,Burnt Offerings (1976),['Horror']
