Genre,MovieID,Title,WeightedRating,AverageRating,# of Ratings
Action,493,Menace II Society (1993),3.4717829509976923,3.6073825503355703,298
Action,494,Executive Decision (1996),3.300804374950224,3.3461538461538463,416
Action,502,"Next Karate Kid, The (1994)",2.4805550577331728,1.935483870967742,155
Action,504,No Escape (1994),3.036302536917834,2.955056179775281,178
Action,507,"Perfect World, A (1993)",3.4148294267811554,3.522727272727273,308
Action,511,"Program, The (1993)",3.126028673464106,3.1052631578947367,152
Action,517,Rising Sun (1993),3.169362148076814,3.175392670157068,382
Action,522,Romper Stomper (1992),3.315961584799146,3.566265060240964,83
Action,533,"Shadow, The (1994)",2.893726356300977,2.7339901477832513,203
Action,544,Striking Distance (1993),2.894258710678516,2.643410852713178,129
Action,546,Super Mario Bros. (1993),2.2122604437458437,1.8742857142857143,350
Action,547,Surviving the Game (1994),3.0161438848920863,2.879032258064516,124
Action,548,Terminal Velocity (1994),2.836638673851793,2.5474452554744524,137
Action,552,"Three Musketeers, The (1993)",3.222955681256521,3.2400756143667295,529
Action,555,True Romance (1993),3.8036173102334456,3.9285714285714284,658
Action,558,"Pagemaster, The (1994)",2.9196780506629176,2.7037037037037037,135
Action,589,Terminator 2: Judgment Day (1991),4.017310259900188,4.058512646281616,2649
Action,591,Tough and Deadly (1995),3.133093525179856,2.0,2
Action,592,Batman (1989),3.5645703090706626,3.6009783368273935,1431
Action,610,Heavy Metal (1981),3.479887058095459,3.546925566343042,618
Action,611,Hellraiser: Bloodline (1996),2.722327401236905,2.4722222222222223,216
Action,624,Condition Red (1995),3.157763552937178,4.0,1
Action,648,Mission: Impossible (1996),3.411395021913504,3.432874918140144,1527
Action,653,Dragonheart (1996),3.212785868865883,3.2254901960784315,612
Action,667,Bloodsport 2 (1995),2.849918908803593,2.0425531914893615,47
Action,688,Operation Dumbo Drop (1995),2.601876021306848,2.276995305164319,213
Action,692,Solo (1996),2.6768791863061274,2.1132075471698113,106
Action,694,"Substitute, The (1996)",2.884029854767871,2.645390070921986,141
Action,704,"Quest, The (1996)",2.940690304898938,2.3095238095238093,42
Action,733,"Rock, The (1996)",3.6739672382148854,3.723134328358209,1340
Action,736,Twister (1996),3.1715501385299527,3.1738738738738737,1110
Action,737,Barb Wire (1996),2.3615867869085014,2.03,300
Action,748,"Arrival, The (1996)",3.1510791366906474,3.1510791366906474,417
Action,780,Independence Day (ID4) (1996),3.4860107603572317,3.5104046242774567,1730
Action,786,Eraser (1996),3.129754217104132,3.123913043478261,460
Action,798,Daylight (1996),2.8758665794637017,2.7058823529411766,204
Action,809,Fled (1996),2.8876016070260673,2.5714285714285716,105
Action,815,Power 98 (1995),3.0987573577501637,2.0,6
Action,836,Chain Reaction (1996),2.826545375270032,2.654008438818565,237
Action,839,"Crow: City of Angels, The (1996)",2.666804487444527,2.214814814814815,135
Action,849,Escape from L.A. (1996),2.637419107100505,2.5107632093933465,511
Action,858,"Godfather, The (1972)",4.4512711669744665,4.524966261808367,2223
Action,861,Supercop (1992),3.3985863940426606,3.5128205128205128,273
Action,876,Police Story 4: Project S (Chao ji ji hua) (1993),3.1090882396123916,2.857142857142857,21
Action,886,Bulletproof (1996),3.0566781357522674,2.9423076923076925,104
Action,940,"Adventures of Robin Hood, The (1938)",3.767928514331392,3.9735449735449735,378
Action,969,"African Queen, The (1951)",4.13443446426291,4.251655629139073,1057
Action,980,In the Line of Duty 2 (1987),3.137679169641386,2.8,5
Action,990,Maximum Risk (1996),2.977977617905675,2.574074074074074,54
Action,996,Last Man Standing (1996),2.98700516026969,2.90625,256
Action,998,Set It Off (1996),3.0914884530731577,3.010752688172043,93
Action,1004,"Glimmer Man, The (1996)",2.934079168383355,2.6633663366336635,101
Action,1036,Die Hard (1988),4.053591501798562,4.121848739495798,1666
Action,1037,"Lawnmower Man, The (1992)",2.7436382877503664,2.6601626016260163,615
Action,1047,"Long Kiss Goodnight, The (1996)",3.4089928057553958,3.4838709677419355,434
Action,1049,"Ghost and the Darkness, The (1996)",3.289490418064162,3.328159645232816,451
Action,1100,Days of Thunder (1990),2.886512767807732,2.807142857142857,420
Action,1101,Top Gun (1986),3.62679222818928,3.6861386138613863,1010
Action,1102,American Strays (1996),3.115661317100166,2.0,4
Action,1112,Palookaville (1996),3.211403547969078,3.4285714285714284,35
Action,1127,"Abyss, The (1989)",3.6474937377637273,3.6839650145772596,1715
Action,1129,Escape from New York (1981),3.425778189329724,3.4649321266968327,884
Action,1134,Johnny 100 Pesos (1993),3.148718525179856,3.0,2
Action,1170,Best of the Best 3: No Turning Back (1995),2.972279519042109,1.6470588235294117,17
Action,1181,"Shooter, The (1995)",3.132617435463394,2.9,10
Action,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.246802301419455,4.292976588628763,2990
Action,1197,"Princess Bride, The (1987)",4.244286403937407,4.3037100949094045,2318
Action,1198,Raiders of the Lost Ark (1981),4.414407564857205,4.477724741447892,2514
Action,1200,Aliens (1986),4.06271118767884,4.125824175824176,1820
Action,1201,"Good, The Bad and The Ugly, The (1966)",4.003202501290107,4.133819951338199,822
Action,1205,"Transformers: The Movie, The (1986)",3.299820647683534,3.380952380952381,231
Action,1210,Star Wars: Episode VI - Return of the Jedi (1983),3.9863861652452717,4.022892819979188,2883
Action,1214,Alien (1979),4.100481847080475,4.159584980237154,2024
Action,1215,Army of Darkness (1993),3.727391196286668,3.804232804232804,945
Action,1218,"Killer, The (Die xue shuang xiong) (1989)",3.8406377600622204,4.19672131147541,244
Action,1220,"Blues Brothers, The (1980)",3.8718718276912214,3.9395973154362416,1341
Action,1221,"Godfather: Part II, The (1974)",4.273947178890551,4.357565011820331,1692
Action,1222,Full Metal Jacket (1987),4.023214471900741,4.110845295055821,1254
Action,1233,"Boat, The (Das Boot) (1981)",4.173944961156186,4.302697302697303,1001
Action,1240,"Terminator, The (1984)",4.095339915118266,4.152049571020019,2098
Action,1242,Glory (1989),4.0872665357213425,4.193345323741007,1112
Action,1261,Evil Dead II (Dead By Dawn) (1987),3.700350105672139,3.826642335766423,548
Action,1264,Diva (1981),3.7572740763003174,4.054474708171206,257
Action,1275,Highlander (1986),3.7451395285155957,3.8461538461538463,741
Action,1277,Cyrano de Bergerac (1990),3.6953700843006576,3.884297520661157,363
Action,1287,Ben-Hur (1959),3.965103579786773,4.110795454545454,704
Action,1291,Indiana Jones and the Last Crusade (1989),4.062734305144255,4.133292383292384,1628
Action,1304,Butch Cassidy and the Sundance Kid (1969),4.128825871341761,4.215644820295983,1419
Action,1320,Alien³ (1992),3.051413864151305,3.037837837837838,925
Action,1335,Blood Beach (1981),2.945822933489943,1.7142857142857142,21
Action,1356,Star Trek: First Contact (1996),3.660192180517425,3.7091603053435116,1310
Action,1364,Zero Kelvin (Kjærlighetens kjøtere) (1995),3.156531025179856,3.5,2
Action,1370,Die Hard 2 (1990),3.5028041008905806,3.541850220264317,1135
Action,1371,Star Trek: The Motion Picture (1979),3.138383410918324,3.1363636363636362,792
Action,1372,Star Trek VI: The Undiscovered Country (1991),3.3806885281482,3.4095904095904097,1001
Action,1373,Star Trek V: The Final Frontier (1989),2.8173693791921806,2.7487765089722673,613
Action,1374,Star Trek: The Wrath of Khan (1982),3.8221321291124664,3.880524861878453,1448
Action,1375,Star Trek III: The Search for Spock (1984),3.3295688235736196,3.353829557713053,927
Action,1376,Star Trek IV: The Voyage Home (1986),3.605460040912957,3.6563055062166963,1126
Action,1377,Batman Returns (1992),2.995709568904945,2.9767216294859358,1031
Action,1378,Young Guns (1988),3.3692383302660196,3.4181494661921707,562
Action,1379,Young Guns II (1990),2.969769638834387,2.907859078590786,369
Action,1382,Marked for Death (1990),2.9645690562174765,2.779527559055118,127
Action,1383,Adrenalin: Fear the Rush (1996),3.0221603738906686,1.5454545454545454,11
Action,1385,Under Siege (1992),3.2436728640937336,3.2689804772234274,461
Action,1387,Jaws (1975),4.024704317730675,4.089569829110195,1697
Action,1388,Jaws 2 (1978),2.7319273613367367,2.5891891891891894,370
Action,1389,Jaws 3-D (1983),2.3393927714970877,1.8523809523809525,210
Action,1391,Mars Attacks! (1996),2.9266966426858514,2.9003724394785846,1074
Action,1408,"Last of the Mohicans, The (1992)",3.737544024725724,3.8133333333333335,975
Action,1429,Jackie Chan's First Strike (1996),3.260132319676174,3.3063973063973062,297
Action,1431,Beverly Hills Ninja (1997),2.7598770145894456,2.5474137931034484,232
Action,1432,Metro (1997),2.9824600496593874,2.77,100
Action,1434,"Stranger, The (1994)",3.164343525179856,4.0,2
Action,1438,Dante's Peak (1997),2.9105950139217485,2.8161993769470404,321
Action,1473,Best Men (1997),3.072505850741094,2.825,40
Action,1479,"Saint, The (1997)",3.1887314531538773,3.197158081705151,563
Action,1480,Smilla's Sense of Snow (1997),3.237943660416935,3.279245283018868,265
Action,1488,"Devil's Own, The (1997)",2.946946790393772,2.857638888888889,288
Action,1495,Turbo: A Power Rangers Movie (1997),2.6766821836648327,1.3181818181818181,44
Action,1497,Double Team (1997),2.8565285702472507,2.0833333333333335,48
Action,1499,Anaconda (1997),2.4286399451867076,2.200501253132832,399
Action,1518,Breakdown (1997),3.3500749400479615,3.42090395480226,354
Action,1523,"Truth or Consequences, N.M. (1997)",2.989267602311593,2.6315789473684212,57
Action,1525,Warriors of Virtue (1997),2.876682183664833,2.090909090909091,44
Action,1527,"Fifth Element, The (1997)",3.599491664153707,3.6405228758169934,1377
Action,1544,"Lost World: Jurassic Park, The (1997)",3.0470933897342665,3.036653386454183,1255
Action,1552,Con Air (1997),3.2528110844657605,3.2662473794549265,954
Action,1556,Speed 2: Cruise Control (1997),2.1988559254016664,1.8719346049046321,367
Action,1562,Batman & Robin (1997),2.4112513268074065,2.257425742574257,606
Action,1573,Face/Off (1997),3.3807601623936794,3.4011259676284307,1421
Action,1580,Men in Black (1997),3.712100589798432,3.739952718676123,2538
Action,1586,G.I. Jane (1997),3.0703308509853904,3.0520646319569122,557
Action,1587,Conan the Barbarian (1982),3.372544371379687,3.4213286713286712,572
Action,1590,Event Horizon (1997),2.645890979524073,2.5180722891566263,498
Action,1591,Spawn (1997),2.732172997043297,2.6210526315789475,475
Action,1597,Conspiracy Theory (1997),3.371436468754559,3.405672009864365,811
Action,1599,Steel (1997),2.6271293845752415,1.6417910447761195,67
Action,1604,Money Talks (1997),3.0158951372933065,2.753846153846154,65
Action,1606,Kull the Conqueror (1997),2.774621154140517,2.3394495412844036,109
Action,1608,Air Force One (1997),3.5424592106680715,3.5882899628252787,1076
Action,1610,"Hunt for Red October, The (1990)",3.988209207661992,4.052058111380146,1652
Action,1616,"Peacemaker, The (1997)",3.107554647261078,3.0936708860759494,395
Action,1626,Fire Down Below (1997),2.903555416536336,2.5185185185185186,81
Action,1627,U Turn (1997),3.1011594979335677,3.076,250
Action,1636,Stag (1997),3.1224119940688673,2.4,5
Action,1667,Mad City (1997),2.9750459046988347,2.7787610619469025,113
Action,1676,Starship Troopers (1997),3.13501626937395,3.1332760103181427,1163
Action,1681,Mortal Kombat: Annihilation (1997),2.650138350857775,2.1791044776119404,134
Action,1687,"Jackal, The (1997)",3.0972699162484267,3.077151335311573,337
Action,1690,Alien: Resurrection (1997),2.9856751063237805,2.958921694480103,779
Action,1720,Time Tracers (1995),3.052902039270839,1.2857142857142858,7
Action,1722,Tomorrow Never Dies (1997),3.404894707715609,3.4419953596287702,862
Action,1739,3 Ninjas: High Noon On Mega Mountain (1998),2.664947810537697,1.3617021276595744,47
Action,1744,Firestorm (1998),2.9706205478966576,2.675324675324675,77
Action,1752,Hard Rain (1998),2.8434818410331975,2.6553398058252426,206
Action,1754,Fallen (1998),3.3288637572432327,3.38659793814433,388
Action,1762,Deep Rising (1998),2.883954592699778,2.73568281938326,227
Action,1769,"Replacement Killers, The (1998)",3.141653867916902,3.1379310344827585,319
Action,1772,Blues Brothers 2000 (1998),2.6854943011882626,2.4304347826086956,230
Action,1773,Tokyo Fist (1995),3.140906025179856,2.5,2
Action,1785,King of New York (1990),3.2909672262190246,3.388888888888889,180
Action,1788,Men With Guns (1997),3.4886450286775186,3.956043956043956,91
Action,1792,U.S. Marshalls (1998),3.1673100543955077,3.171875,448
Action,1796,In God's Hands (1998),3.1224119940688673,2.4,5
Action,1801,"Man in the Iron Mask, The (1998)",3.0697020719981074,3.0434782608695654,391
Action,1825,"Player's Club, The (1998)",3.0505406995158593,2.6666666666666665,33
Action,1831,Lost in Space (1998),2.674698576573798,2.5847076461769114,667
Action,1832,Heaven's Burning (1997),3.157763552937178,4.0,1
Action,1833,Mercury Rising (1998),3.0513742851872347,3.003787878787879,264
Action,1858,Mr. Nice Guy (1997),3.218241514171213,3.2674418604651163,172
Action,1866,"Big Hit, The (1998)",3.1143999086445127,3.0899470899470898,189
Action,1867,Tarzan and the Lost City (1998),2.981926653798912,2.4210526315789473,38
Action,1869,Black Dog (1998),2.9098077470227204,2.3137254901960786,51
Action,1876,Deep Impact (1998),3.1645797955171613,3.166480446927374,895
Action,1882,Godzilla (1998),2.4912575539568342,2.3246492985971945,499
Action,1910,I Went Down (1997),3.2996165941498297,3.7560975609756095,41
Action,1912,Out of Sight (1998),3.718603453794025,3.797356828193833,908
Action,1916,Buffalo 66 (1998),3.4125749400479615,3.505649717514124,354
Action,1917,Armageddon (1998),3.1877313683034156,3.191891891891892,1110
Action,1918,Lethal Weapon 4 (1998),3.142183611601285,3.14050822122571,669
Action,1953,"French Connection, The (1971)",3.977746678037509,4.098722415795587,861
Action,1954,Rocky (1976),3.8637736822494197,3.9433126660761735,1129
Action,2000,Lethal Weapon (1987),3.8340193789064587,3.8869084204056548,1627
Action,2001,Lethal Weapon 2 (1989),3.501350898173282,3.5450049455984174,1011
Action,2002,Lethal Weapon 3 (1992),3.2403404862317045,3.254364089775561,802
Action,2006,"Mask of Zorro, The (1998)",3.5149107044391537,3.5615462868769074,983
Action,2013,"Poseidon Adventure, The (1972)",3.403791405378371,3.454983922829582,622
Action,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),4.324981394194989,4.560509554140127,628
Action,2023,"Godfather: Part III, The (1990)",3.317817745803357,3.3449612403100777,774
Action,2028,Saving Private Ryan (1998),4.283568179641246,4.337353938937053,2653
Action,2041,Condorman (1981),2.8931216650295997,2.668965517241379,145
Action,2058,"Negotiator, The (1998)",3.545984833754618,3.6082603254067585,799
Action,2094,"Rocketeer, The (1991)",3.1148909178921365,3.108695652173913,736
Action,2105,Tron (1982),3.3321496087801292,3.3556701030927836,970
Action,2115,Indiana Jones and the Temple of Doom (1984),3.6233327783104725,3.676131322094055,1127
Action,2126,Snake Eyes (1998),2.827755187154624,2.7454545454545456,495
Action,2153,"Avengers, The (1998)",2.347912973968651,1.9965277777777777,288
Action,2167,Blade (1998),3.4331935521101835,3.477132262051916,809
Action,2170,Wrongfully Accused (1998),2.855566149490046,2.5528455284552845,123
Action,2193,Willow (1988),3.449392210369635,3.4962593516209477,802
Action,2194,"Untouchables, The (1987)",3.9218164175762347,4.007985803016859,1127
Action,2196,Knock Off (1998),3.026378896882494,2.4444444444444446,27
Action,2253,Toys (1992),2.694409843150215,2.5636363636363635,440
Action,2258,Master Ninja I (1984),3.148718525179856,3.0,2
Action,2260,Wisdom (1986),3.0516341212744087,2.795918367346939,49
Action,2273,Rush Hour (1998),3.4967277174276514,3.5661881977671452,627
Action,2275,Six-String Samurai (1998),3.228608990979805,3.3661971830985915,71
Action,2278,Ronin (1998),3.4764334455182633,3.5272952853598016,806
Action,2288,"Thing, The (1982)",3.6932364143287444,3.785425101214575,741
Action,2307,One Tough Cop (1998),3.03070714160379,2.6315789473684212,38
Action,2308,Detroit 9000 (1973),3.142015521441115,2.0,1
Action,2322,Soldier (1998),2.9976826231322633,2.9310344827586206,290
Action,2334,"Siege, The (1998)",3.130929631294964,3.1243523316062176,386
Action,2344,Runaway Train (1985),3.3181528171957844,3.4228855721393034,201
Action,2347,"Pope of Greenwich Village, The (1984)",3.4028776978417263,3.736842105263158,95
Action,2353,Enemy of the State (1998),3.6266032057657287,3.687246963562753,988
Action,2363,Godzilla (Gojira) (1954),3.269405084831432,3.318936877076412,301
Action,2364,Godzilla (Gojira) (1984),2.9677569685142573,2.7768595041322315,121
Action,2365,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),2.9543357680268,2.7720588235294117,136
Action,2366,King Kong (1933),3.5839410104569405,3.6560846560846563,756
Action,2367,King Kong (1976),2.871347060282808,2.7572815533980584,309
Action,2368,King Kong Lives (1986),2.690412887081639,1.6896551724137931,58
Action,2370,"Emerald Forest, The (1985)",3.343417803070976,3.5140845070422535,142
Action,2373,Red Sonja (1985),2.7493205435651475,2.4814814814814814,189
Action,2376,"View to a Kill, A (1985)",3.235113018232864,3.267692307692308,325
Action,2393,Star Trek: Insurrection (1998),3.3215819627256393,3.34820322180917,807
Action,2402,Rambo: First Blood Part II (1985),2.9032940630417867,2.825436408977556,401
Action,2403,First Blood (1982),3.4704320673480336,3.5717884130982367,397
Action,2404,Rambo III (1988),2.5808804946674977,2.3421926910299002,301
Action,2405,"Jewel of the Nile, The (1985)",3.161496835072618,3.163447251114413,673
Action,2406,Romancing the Stone (1984),3.643124385603686,3.6892193308550185,1345
Action,2409,Rocky II (1979),3.1716917184291096,3.1775280898876406,445
Action,2410,Rocky III (1982),2.941244727178409,2.8753117206982544,401
Action,2411,Rocky IV (1985),2.772526888668706,2.6453333333333333,375
Action,2412,Rocky V (1990),2.432589928057554,2.102189781021898,274
Action,2414,Young Sherlock Holmes (1985),3.330764299451528,3.390501319261214,379
Action,2421,"Karate Kid, Part II, The (1986)",2.776179056754596,2.6771488469601676,477
Action,2422,"Karate Kid III, The (1989)",2.436980512677237,2.1223776223776225,286
Action,2427,"Thin Red Line, The (1998)",3.3649472241367295,3.398505603985056,803
Action,2457,Running Scared (1986),3.3065869382416144,3.382239382239382,259
Action,2468,Jumpin' Jack Flash (1986),2.8660719424460432,2.770053475935829,374
Action,2475,52 Pick-Up (1986),3.2294585384324117,3.3,140
Action,2476,Heartbreak Ridge (1986),3.288816833856858,3.3466666666666667,300
Action,2487,"Blood, Guts, Bullets and Octane (1998)",3.1130524152106887,2.4285714285714284,7
Action,2490,Payback (1999),3.4561023039188226,3.5058214747736094,773
Action,2524,"Towering Inferno, The (1974)",3.0613162531199527,3.018796992481203,266
Action,2525,Alligator (1980),2.648874448828034,2.235294117647059,153
Action,2527,Westworld (1973),3.376687626276931,3.4213836477987423,636
Action,2528,Logan's Run (1976),3.416271238328486,3.4696485623003195,626
Action,2529,Planet of the Apes (1968),3.6576366236203586,3.712564543889845,1162
Action,2530,Beneath the Planet of the Apes (1970),2.998036601268883,2.9452054794520546,365
Action,2531,Battle for the Planet of the Apes (1973),2.924739660326533,2.8333333333333335,312
Action,2532,Conquest of the Planet of the Apes (1972),2.9236280397169865,2.8435754189944134,358
Action,2533,Escape from the Planet of the Apes (1971),3.064577200718203,3.041036717062635,463
Action,2534,Avalanche (1978),3.0771746239372137,2.5294117647058822,17
Action,2535,Earthquake (1974),3.0042284539715163,2.8487394957983194,119
Action,2540,"Corruptor, The (1999)",3.0852339405071687,3.032051282051282,156
Action,2549,Wing Commander (1999),2.6147374459236596,2.2285714285714286,175
Action,2568,"Mod Squad, The (1999)",2.494223444773593,2.107476635514019,214
Action,2571,"Matrix, The (1999)",4.261795276591687,4.315830115830116,2590
Action,2582,Twin Dragons (Shuang long hui) (1992),3.1356040167865706,3.106060606060606,66
Action,2600,eXistenZ (1999),3.2314103940728014,3.2560975609756095,410
Action,2613,Night of the Comet (1984),3.113110494405458,3.096085409252669,281
Action,2614,Chopping Mall (a.k.a. Killbots) (1986),2.8355057130765977,1.9318181818181819,44
Action,2616,Dick Tracy (1990),2.761381294964029,2.6826923076923075,624
Action,2617,"Mummy, The (1999)",3.302767847504873,3.3217477656405165,1007
Action,2625,Black Mask (Hak hap) (1996),3.1251873501199037,3.0757575757575757,66
Action,2628,Star Wars: Episode I - The Phantom Menace (1999),3.3960589104473997,3.409777777777778,2250
Action,2640,Superman (1978),3.500768524646159,3.536824877250409,1222
Action,2641,Superman II (1980),3.16258844776031,3.1643026004728134,846
Action,2642,Superman III (1983),2.4977016816687936,2.336594911937378,511
Action,2643,Superman IV: The Quest for Peace (1987),2.235886400050265,1.8885542168674698,332
Action,2662,"War of the Worlds, The (1953)",3.7294297702214494,3.8584070796460175,565
Action,2692,Run Lola Run (Lola rennt) (1998),4.111883114543424,4.224813432835821,1072
Action,2699,Arachnophobia (1990),3.015429317630959,3.0029261155815656,1367
Action,2701,Wild Wild West (1999),2.2801906334854296,2.158536585365854,902
Action,2720,Inspector Gadget (1999),2.414901745937919,2.1662198391420913,373
Action,2722,Deep Blue Sea (1999),2.9213204022417423,2.8729096989966556,598
Action,2723,Mystery Men (1999),3.0286373556925654,3.0105509964830013,853
Action,2735,"Golden Child, The (1986)",2.9521982414068746,2.89760348583878,459
Action,2737,Assassination (1987),3.114335377335715,2.9130434782608696,23
Action,2741,No Mercy (1986),3.1071442311391526,3.0163934426229506,61
Action,2748,Allan Quartermain and the Lost City of Gold (1987),2.578083540771945,2.051094890510949,137
Action,2756,Wanted: Dead or Alive (1987),3.1647846279938077,3.21875,32
Action,2763,"Thomas Crown Affair, The (1999)",3.5909761080024873,3.6418732782369148,1089
Action,2802,Tequila Sunrise (1988),3.1065647482014387,3.088235294117647,306
Action,2807,Universal Soldier: The Return (1999),2.5669860425024034,1.7582417582417582,91
Action,2808,Universal Soldier (1992),2.672726489467109,2.512,375
Action,2812,In Too Deep (1999),3.17462773966873,3.239130434782609,46
Action,2815,Iron Eagle (1986),2.7708714640378376,2.5940959409594098,271
Action,2816,Iron Eagle II (1988),2.4563356613978886,1.864864864864865,148
Action,2817,Aces: Iron Eagle III (1992),2.398549686147496,1.64,125
Action,2818,Iron Eagle IV (1995),2.663238974038161,1.603448275862069,58
Action,2823,"Spiders, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)",3.1310459324847812,2.5,4
Action,2826,"13th Warrior, The (1999)",3.1575753096153214,3.1586666666666665,750
Action,2835,Chill Factor (1999),2.9617361056209974,2.5357142857142856,56
Action,2872,Excalibur (1981),3.716631303252329,3.81266846361186,742
Action,2879,Operation Condor (Feiying gaiwak) (1990),3.327710245596626,3.4634146341463414,164
Action,2880,Operation Condor 2 (Longxiong hudi) (1990),3.2628079354698056,3.4583333333333335,72
Action,2881,Double Jeopardy (1999),3.194118389498927,3.2010178117048347,786
Action,2892,New Rose Hotel (1998),3.094463559587113,2.5,12
Action,2893,Plunkett & MaCleane (1999),3.0835474477560805,2.880952380952381,42
Action,2905,Sanjuro (1962),3.6668511344770334,4.608695652173913,69
Action,2912,"Limey, The (1999)",3.5683932853717026,3.679324894514768,474
